Strada BARATIEI,44,Sector 3,1935,S+P+Mz+2E+Ma,7,1993,Laurentiu SPOIALA,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4299319,26.1052701",44.4299319,26.1052701
Strada BARATIEI,50,Sector 3,1824,S+P+1E,-,2019,Ionel BELGUN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4299306,26.1054917",44.4299306,26.1054917
Strada BATISTE,5,Sector 2,1933,2S+P+10E,26,1993,Emilian TITARU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.437754,26.102009",44.437754,26.102009
Strada BISERICA AMZEI,8,Sector 1,1935,P+4E+Ma,20,1997,Iorgu NICULA,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4443428,26.0933026",44.4443428,26.0933026
Strada BISERICA ENEI,14,Sector 1,1936,S+P+5E,26,1993,Eugeniu IORDACHESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4369611,26.0997375",44.4369611,26.0997375
Strada BLANARI,2,Sector 3,1865,S+P+2E+Ma,0,2012,ing. Mihai URSACHESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4326673,26.1029408",44.4326673,26.1029408
Strada BLANARI,8,Sector 3,1884,S+P+2E+Ma,0,1993,Armand NEFIAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4326832,26.1027583",44.4326832,26.1027583
Strada BLANARI,10,Sector 3,1875,S+P+2E,1,2012,ing. Mihai URSACHESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4326642,26.1026788",44.4326642,26.1026788
Strada BLANARI,11,Sector 3,1947,S+P+8E,14,2022,ing. Andrei DRAGOS MARCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4321979,26.1018716",44.4321979,26.1018716
Strada BLANARI,13,Sector 3,1900,S+P+2E+Pod,2,2015,Anatolie CAZACLIU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.432191,26.1017429",44.432191,26.1017429
Strada BLANARI (colT cu Strada BACANI),3 (3-5),Sector 3,1883,S+P+Mz+2E+Ma,28,1993,Stelian PICULESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4322949,26.1025758",44.4322949,26.1025758
Strada BOCSA,3,Sector 2,1932,P+5E,25,1995,Marin TEODOR,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4403301,26.1106467",44.4403301,26.1106467
Strada BRAZILIA,56,Sector 1,1930,S+P+1E+Ma,5,1993,Armand NEFIAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.457188,26.0955784",44.457188,26.0955784
Strada BUZESTI,32A,Sector 1,1930,S+P+3E,1,1994,Horia DUGAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.447425,26.082413",44.447425,26.082413
Strada C. A. ROSETTI,27,Sector 2,1900,S+P+2E,4,1993,Ion LUNGU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4414721,26.1024467",44.4414721,26.1024467
Strada C. A. ROSETTI,42,Sector 2,1927,S+P+3E,8,1993,Adina SIMION,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4414237,26.1050652",44.4414237,26.1050652
Strada C. A. ROSETTI,43,Sector 2,1933,S+P+5E+Ma,18,2007,DRAGOS BADEA,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4416375,26.104708",44.4416375,26.104708
Strada C. A. ROSETTI,43A,Sector 2,1933,S+P+4E,11,1994,Adina SIMION,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.44171970000001,26.1048927",44.44171970000001,26.1048927
Strada CADEREA BASTILIEI,5,Sector 1,1938,S+P+7E,41,1994,Gabriel NICULESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4478032,26.0963305",44.4478032,26.0963305
Strada CADEREA BASTILIEI,16,Sector 1,1937,S+P+3E+Ma,7,1995,Vladimir AMBROZIE,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4485857,26.0965805",44.4485857,26.0965805
Strada CAIMATEI,18,Sector 2,1936,P+5E,13,1998,Rodica VASILESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.43627009999999,26.1085492",44.43627009999999,26.1085492
Calea CALARASILOR,99 (corp A),Sector 3,1922,S+P,3,1993,Adina SIMION,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4333726,26.1173711",44.4333726,26.1173711
Strada CALUSEI,4,Sector 2,1937,S+P+3E+Ma,6,1997,Nicolae CONSTANTINESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4432189,26.1206779",44.4432189,26.1206779
Strada CAMELIEI,3,Sector 1,1900,S+P+1E,4,1993,Constantin ARIENESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4434786,26.0780922",44.4434786,26.0780922
Strada CAMELIEI,4,Sector 1,1900,S+P+1E,4,1993,Constantin ARIENESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4433565,26.0782592",44.4433565,26.0782592
Strada CAMELIEI,7,Sector 1,1900,S+P+1E+Ma,5,1993,Constantin ARIENESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4434561,26.0782948",44.4434561,26.0782948
Strada CAMELIEI,30,Sector 1,1925,S+P+1E,7,1993,Mircea CONDRUT,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4439998,26.080161",44.4439998,26.080161
Bulevardul CAROL I,27,Sector 2,1910,S+P+2E+Ma,3,1993,Ion LUNGU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4366872,26.1078762",44.4366872,26.1078762
Bulevardul CAROL I,47,Sector 2,1934,P+8E,23,1993,Niculae TUDOSE,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4373653,26.1115556",44.4373653,26.1115556
Bulevardul CAROL I,51,Sector 2,1929,S+Ds+P+7E,30,2001,Grigore ARSENIE,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4375064,26.1121783",44.4375064,26.1121783
Bulevardul CAROL I,63,Sector 2,1937,S+P+5E+Ma,18,1993,Niculae TUDOSE,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4378155,26.1136246",44.4378155,26.1136246
Bulevardul CAROL I,76,Sector 2,1939,P+8E,18,1994,Dan POPESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4378567,26.1156873",44.4378567,26.1156873
Bulevardul CAROL I,40÷42 (sc. A+B+C+D),Sector 2,1890,S+P+2E+Ma,0,2015,Octavian MANOIU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4267674,26.1025384",44.4267674,26.1025384
Soseaua CHITILEI,73,Sector 1,1935,S+P+1E,2,1993,Constantin ARIENESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4790271,26.0377907",44.4790271,26.0377907
Strada COLTEI,14,Sector 3,1900,S+P+3E,5,1995,Leonid NEAGOE,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4337148,26.1043725",44.4337148,26.1043725
Strada COLTEI,52,Sector 3,1913,S+P+2E+Pod,3,1993,Armand NEFIAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4346652,26.1067267",44.4346652,26.1067267
Strada CONSTANTIN BALACESCU,12,Sector 1,1890,S+P+1E+Ma,6,1993,Constantin ARIENESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4446978,26.0728745",44.4446978,26.0728745
Strada CONSTANTIN BALACESCU,28,Sector 1,1918,S+P+2E+Ma,4,1993,Constantin ARIENESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4450081,26.0716034",44.4450081,26.0716034
Strada CONSTANTINTIN SILVESTRI (fosta Strada SFINTII APOSTOLI),1 (84),Sector 4,1930,S+P+2E+Ma,20,1994,Dan STANCIULESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.429435,26.0941497",44.429435,26.0941497
Bulevardul CORNELIU COPOSU,39A,Sector 3,10962,Ds+P+6E,,2019,Catalin STEFAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4318744,26.1098701",44.4318744,26.1098701
Strada COSTACHE NEGRI,10,Sector 5,1932,Ds+P+1E,3,2015,Ionel BELGUN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.433363,26.078194",44.433363,26.078194
Strada D. I. MENDELEEV,26 (corp A),Sector 1,1864,S+P,2,1996,Adina SIMION,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4446606,26.0967213",44.4446606,26.0967213
Strada D. I. MENDELEEV (colT cu Strada PIATA AMZEI),17 (15),Sector 1,1935,S+P+6E,44,1993,Emilian TITARU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4443251,26.095839",44.4443251,26.095839
Bulevardul DACIA,43 (fost 1),Sector 1,1930,S+P+5E+Ma,6,1997,Valentin GEORGESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4468933,26.1000675",44.4468933,26.1000675
Bulevardul DACIA,53 (fost 9),Sector 1,1938,S+P+8E,17,2022,ing. Andrei DRAGOS MARCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.446821,26.1011077",44.446821,26.1011077
Bulevardul DACIA,102,Sector 2,1936,S+P+4E+Ma,26,1993,Constantin ARIENESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4452749,26.1106384",44.4452749,26.1106384
Bulevardul DACIA (colT cu Strada STANISLAV CIHOVSCHI),37 (1),Sector 1,1930,S-P-2E-Ma,0,2013,Niculae TEODOR,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4494159,26.0976009",44.4494159,26.0976009
Strada DIANEI,2,Sector 2,10962,S+P+5E+Ma,12,2019,Ionel BELGUN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.436744,26.1068488",44.436744,26.1068488
Strada DIANEI,5,Sector 2,1940,S+P+4E,9,1993,Adina SIMION,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4371819,26.1063036",44.4371819,26.1063036
Strada DIMITRIE BOLINTINEANU,5,Sector 3,1936,P+6E,44,1994,Dan STANCIULESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4349604,26.1060717",44.4349604,26.1060717
Strada DIMITRIE ONCIUL,29,Sector 2,1936,S+P+2E+Ma,4,1993,Traian POPP. Mircea CONDRUT,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4414704,26.1199976",44.4414704,26.1199976
Strada DIMITRIE SALMEN,28,Sector 2,1933,S+P+3E+Ma,12,1993,Constantin ARIENESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4416519,26.1235188",44.4416519,26.1235188
Strada DIONISIE LUPU,53,Sector 1,1937,P+7E,13,1994,Leonid NEAGOE,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4436395,26.1010931",44.4436395,26.1010931
Strada DIONISIE LUPU,55,Sector 1,1936,P+5E+Ma,13,1993,Eugeniu IORDACHESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4443722,26.10091",44.4443722,26.10091
Strada DOAMNEI,5,Sector 3,1934,P+10E+Ma,25,2022,ing. Andrei DRAGOS MARCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.43380699999999,26.099528",44.43380699999999,26.099528
Strada DOMNITA ANASTASIA,5,Sector 5,1890,S+P+2E,5,2022,ing. Andrei DRAGOS MARCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4334991,26.0956698",44.4334991,26.0956698
Strada DROBETA,3÷5,Sector 2,1946,S+P+5E+Ma,5,2002,Adina SIMION,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.44656459999999,26.1068774",44.44656459999999,26.1068774
Strada EFORIEI,8,Sector 5,1940,S+P+8E+Ma,58,1996,Constantin TARHON,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.433886,26.095918",44.433886,26.095918
Strada EPISCOPIEI,2÷4,Sector 1,1929,S+P+5E+Ma,36,2022,ing. Andrei DRAGOS MARCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4416614,26.0970109",44.4416614,26.0970109
Strada EPISCOPUL CHESARIE,18,Sector 4,1890,S+P+2E+Ma,11,1993,Dan STANCIULESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.42089259999999,26.0929995",44.42089259999999,26.0929995
Strada EUGENIU CARADA,3,Sector 3,1912,S-P-2E+Ma,0,2017,Rodica VASILESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4327028,26.0987114",44.4327028,26.0987114
Bulevardul FERDINAND I,87,Sector 2,1933,S+P+3E,8,1993,Mircea CONDRUT,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4426545,26.1263123",44.4426545,26.1263123
Calea FLOREASCA,145,Sector 1,1936,S+P+2E+Ma,5,1993,Armand NEFIAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.46184400000001,26.1010412",44.46184400000001,26.1010412
Strada FLUIERULUI,17÷17B,Sector 2,1934,S+P+2E,16,1993,Dan STANCIULESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.44151919999999,26.127736",44.44151919999999,26.127736
Strada FRANCEZA,6 (corp A+B),Sector 3,1869,S+P+2E+Ma S+P+Mz+2E,4,1993,Voicu DORDEA,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.430725,26.0971997",44.430725,26.0971997
Strada FRANCEZA,8,Sector 3,1870,P+2E,5,1993,Voicu DORDEA,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.430763,26.0973588",44.430763,26.0973588
Strada FRANCEZA,9 (corp A+B),Sector 3,1910,S+P+6E,45,1993,Nicolae ALEMAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4303414,26.0994734",44.4303414,26.0994734
